Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79             -1              2           4.61              0          13.39           8.79
4              10.82           5.62              0              1          12.44           1.62          17.65           6.83
5               12.9           0.63              0              2          13.39           0.49          19.71           6.81
3               7.11          14.06             -1              3           7.11              0          21.17          14.06
8              14.95           3.26              0              3          21.17           6.22          21.69           6.73
9              17.09           5.34              0              3          21.69           4.59          21.92           4.83
7              14.79           5.44              0              2          19.71           4.92           22.4           7.61
6              13.53          12.42              0              1          17.65           4.12          28.38          14.85
11             21.34           4.75              0              2           22.4           1.06           30.8           9.46
10             18.75           0.22              0              3          21.92           3.17          35.05           16.3
13             25.61           8.47              0              2           30.8           5.19          40.79          15.19
12             25.56          23.92              0              1          28.38           2.82           41.6          16.04
14             26.56           8.92              0              3          35.05           8.49          41.76          15.21
17             34.65           5.11              0              3          41.76           7.11           42.6           7.95
15             28.94          11.39              0              2          40.79          11.86          43.53          14.59
19              36.2           2.89              0              2          43.53           7.32           43.9            7.7
16             32.38          16.43              0              1           41.6           9.22          46.61          14.23
20             37.33           5.69              0              2           43.9           6.58          46.62           9.29
21             37.51          14.82              0              1          46.61           9.11          50.38          12.88
22             39.39          16.15              0              2          46.62           7.22          52.29           12.9
18              35.1           4.59              0              3           42.6            7.5          55.86          20.76
23             47.49           8.67              0              1          50.38           2.89          58.46          10.97
26             51.81          15.09              0              1          58.46           6.65          62.29          10.48
25             51.05           0.97              0              3          55.86           4.81          65.39          14.34
24             50.34            2.3              0              2          52.29           1.95           68.2          17.86
29             59.74           2.49              0              2           68.2           8.46          74.48          14.74
28             56.16          16.54              0              3          65.39           9.23          77.14          20.98
30             63.99          12.62              0              2          74.48          10.49          77.35          13.37
27             52.24           14.4              0              1          62.29          10.05          77.72          25.48
32             66.68           2.07              0              2          77.35          10.68          79.72          13.05
31             65.91           2.19              0              3          77.14          11.23          80.91             15
35             69.48           3.79              0              3          80.91          11.44          83.59          14.11
34             67.19           8.23              0              2          79.72          12.53          86.92          19.73
33             67.01           8.58              0              1          77.72          10.71          88.92          21.91
37             74.18           8.85              0              2          86.92          12.74          90.05          15.86
39             87.11           1.76              0              2          90.05           2.94          91.65           4.54
38              84.6           4.14              0              1          88.92           4.31          95.64          11.03
40             93.67           3.76              0              1          95.64           1.96         102.42           8.74
