Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79             -1              2           4.61              0          13.39           8.79
4              10.82           5.62             -1              0          10.82              0          16.44           5.62
3               7.11          14.06             -1              3           7.11              0          21.17          14.06
6              13.06           2.51              0              0          16.44           3.38             25          11.94
5               12.9           5.21              0              2          13.39           0.49          25.81          12.91
8                 16           0.64              0              0             25              9          34.52          18.52
10             18.47          10.74              0              0          34.52          16.05          36.33          17.86
9              16.81           5.34              0              2          25.81              9          39.03          22.22
11             18.53          10.36              0              0          36.33          17.81          40.75          22.22
7              14.64           5.04              0              3          21.17           6.53          45.09          30.45
14             20.45          13.13              0              3          45.09          24.65          47.39          26.94
15             22.55           0.18              0              3          47.39          24.84          48.36          25.81
16             24.66           3.81              0              3          48.36           23.7          50.06           25.4
13             20.39          16.89              0              0          40.75          20.36             54          33.62
12              19.2           0.51              0              2          39.03          19.83          55.18          35.98
18             30.34             10              0              0             54          23.67          63.53          33.19
17             26.89          11.39              0              3          50.06          23.17          64.46          37.57
21             36.87           2.89              0              3          64.46          27.59          67.54          30.67
20             35.72           6.72              0              0          63.53          27.81          71.22          35.49
19             34.45           9.06              0              2          55.18          20.74          71.72          37.27
26             40.95           0.38              0              0          71.22          30.26          74.09          33.14
29              45.9           2.84              0              2          71.72          25.82           75.5           29.6
30             47.92           3.05              0              0          74.09          26.17          76.46          28.54
32             55.67          14.34              0              0          76.46          20.79          83.66          27.99
24             40.06          32.38              0              3          67.54          27.48          85.69          45.63
31             51.69          15.68              0              2           75.5          23.81           86.7          35.01
34             60.87          15.43              0              3          85.69          24.82          87.45          26.58
33             56.62           2.49              0              0          83.66          27.03           87.8          31.17
35             64.02          11.75              0              2           86.7          22.67           88.3          24.28
36             64.57           2.07              0              3          87.45          22.87           91.2          26.63
40             68.32           2.52              0              0           87.8          19.48          92.47          24.15
44             85.79          26.25              0              0          92.47           6.68          94.58           8.79
42             78.91           2.67              0              2           88.3           9.39          95.08          16.18
43             85.01          10.04              0              3           91.2           6.19          95.84          10.83
46             89.84           1.65              0              2          95.08           5.24          97.34            7.5
45             87.47           7.62              0              0          94.58           7.11          99.47             12
47             92.53           1.64              0              3          95.84            3.3         118.42          25.88
49             99.01           8.96              0              0          99.47           0.46         118.44          19.43
48             95.52           18.4              0              2          97.34           1.82         119.85          24.33
