Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79             -1              2           4.61              0          13.39           8.79
4              10.82           5.62             -1              0          10.82              0          16.44           5.62
5               12.9           5.21             -1              1           12.9              0          18.11           5.21
3               7.11          14.06             -1              3           7.11              0          21.17          14.06
7              14.64           5.04              0              0          16.44            1.8             25          10.36
6              13.06           2.51              0              2          13.39           0.33          25.81          12.75
9              16.81           5.34              0              3          21.17           4.36          25.92           9.11
8                 16           0.64              0              1          18.11           2.11          28.85          12.85
11             21.06           2.69              0              2          25.81           4.75          37.21          16.14
13             21.25          13.13              0              1          28.85            7.6          37.91          16.66
10             18.47           0.22              0              0             25           6.53          38.22          19.74
12             21.19          16.89              0              3          25.92           4.73           39.7          18.51
17             26.73             10              0              3           39.7          12.98          40.08          13.36
18             30.83           5.11              0              3          40.08           9.25          42.79          11.96
14             23.35          23.92              0              2          37.21          13.86          44.76          21.41
19             31.29           6.72              0              3          42.79          11.51          46.56          15.27
21             33.16           4.49              0              3          46.56           13.4          48.26          15.11
15             23.39           8.47              0              1          37.91          14.52          54.06          30.67
20             32.43           4.41              0              2          44.76          12.32          56.15          23.72
24             39.54           0.84              0              2          56.15          16.62          59.98          20.45
22             34.58           0.71              0              3          48.26          13.68          62.66          28.08
23             38.28           2.73              0              1          54.06          15.78           68.4          30.12
16             24.35           8.92              0              0          38.22          13.87           70.6          46.25
28             45.97           3.05              0              0           70.6          24.63          73.47           27.5
26             45.02            2.3              0              3          62.66          17.64          74.41          29.39
25             42.85           5.67              0              2          59.98          17.13          75.41          32.56
30             53.72           9.53              0              3          74.41          20.69          76.78          23.06
29             49.75          15.68              0              0          73.47          23.73          77.25          27.51
33             64.03           2.19              0              0          77.25          13.23          79.92           15.9
32              62.1          12.62              0              3          76.78          14.68          83.98          21.87
27             45.73           8.07              0              1           68.4          22.67          86.55          40.82
31             57.86           2.49              0              2          75.41          17.56          86.61          28.76
38             68.54           2.52              0              2          86.61          18.07          88.25          19.71
35             65.12           8.58              0              3          83.98          18.86          88.65          23.53
36             65.31           8.23              0              1          86.55          21.24          88.66          23.36
34             64.79           2.07              0              0          79.92          15.13          89.96          25.17
40             79.13          24.41              0              2          88.25           9.12          90.51          11.38
43             82.28            1.6              0              0          89.96           7.68          98.92          16.64
